path,weather,image_id,pred,task,model
../dataset/test/images/tornado_test_00107.jpg,tornado,tornado_test_00107,tornado,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/fog_test_00072.jpg,fog,fog_test_00072,rain,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/snow_test_00321.jpg,snow,snow_test_00321,snow,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/flooding_test_00999.jpg,flooding,flooding_test_00999,rain,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00196.jpg,wildfire,wildfire_test_00196,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00255.jpg,wildfire,wildfire_test_00255,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00184.jpg,wildfire,wildfire_test_00184,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/tornado_test_00053.jpg,tornado,tornado_test_00053,tornado,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/tornado_test_00093.jpg,tornado,tornado_test_00093,tornado,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/fog_test_00050.jpg,fog,fog_test_00050,fog,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/flooding_test_00135.jpg,flooding,flooding_test_00135,flooding,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/tornado_test_00106.jpg,tornado,tornado_test_00106,tornado,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00201.jpg,wildfire,wildfire_test_00201,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/dust_test_00050.jpg,haze/sand/dust,dust_test_00050,fog,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/dust_test_00027.jpg,haze/sand/dust,dust_test_00027,haze/sand/dust,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/heavy_rain_test_00178.jpg,rain,heavy_rain_test_00178,rain,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/fog_test_00070.jpg,fog,fog_test_00070,rain,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00262.jpg,wildfire,wildfire_test_00262,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00143.jpg,wildfire,wildfire_test_00143,wildfire,wc,gemini-3.1-flash-lite-preview
../dataset/test/images/wildfire_test_00059.jpg,wildfire,wildfire_test_00059,wildfire,wc,gemini-3.1-flash-lite-preview
